JAPAN-A_Core マクロ経済複雑系シミュレーション結果
エクスポート日時,2026/06/17 21:31:50
[前提条件 (Inputs)]
項目,設定値,単位,実態適合スケーリング後/説明
初期名目GDP(Y0),691.9,兆円,開始時点(t=0)の名目GDP (実態適合)
初期政府債務残高(B0),1145.0,兆円,開始時点(t=0)の普通国債残高 (実態適合)
初期インフレ率(pi0),2.00,%,開始時点(t=0)の年率インフレ率
初期政策金利(r0),0.25,%,開始時点(t=0)の政策金利
初期長期金利(R0),3.00,%,開始時点(t=0)の長期金利 (リスクプレミアム加味)
初期為替レート(E0),150.0,円/ドル,開始時点(t=0)の為替レート
初期日銀国債保有量(BOJ0),588.4,兆円,開始時点(t=0)の日銀保有国債残高
初期民間保有国債(B_private0),556.6,兆円,開始時点(t=0)の民間部門保有国債残高
政府支出(G),100,兆円,実態適合スケーリング後: 91.0 兆円 (令和8年度予算ベース)
税率(tau),20,%,実効税率調整係数込で初期税収 83.7 兆円に適合
利上げ上限パルス(delta_r_max),0.25,%,1期(四半期)あたりの最大金利変更幅
目標インフレ率(pi_target),2.0,%,中央銀行 of Japan の政策金利調整基準インフレ目標
潜在GDP(Y_potential),500,兆円,実態適合スケーリング後: 691.9 兆円 (供給側上限)
日銀国債買い入れ額(Op),6.0,兆円/月,量的金融政策 (QT/QEの境界は 3.0 兆円/月)
シミュレーション期間(steps),120,期,1期=四半期 (合計: 30.0 年間)

[シミュレーション時系列データ (Outputs)]
期 (step),名目GDP (Y) [兆円],消費 (C) [兆円],投資 (I) [兆円],政府債務残高 (B) [兆円],税収 (T) [兆円],日銀保有国債 (B_boj) [兆円],日銀当座預金負債 (J_pos) [兆円],民間保有国債 (B_private) [兆円],インフレ率 (pi) [%],政策金利 (r) [%],長期金利 (R) [%],為替レート (USDJPY) [円/ドル],利払い費 (interest_payment) [兆円],当座預金付利負担 (boj_interest_payment) [兆円]
61,952.5469,523.9008,108.7940,2303.4756,115.2308,618.9000,543.6000,1684.5756,5.2644,14.7351,20.1572,170.1225,79.7807,78.7412
62,951.4050,523.2728,106.9766,2337.7789,115.0926,619.4000,543.6000,1718.3789,5.2838,14.9851,20.5119,170.3626,81.2057,80.1002
63,950.0606,522.5333,105.1288,2372.8276,114.9300,619.9000,543.6000,1752.9276,5.3009,15.2351,20.8690,170.5883,82.6655,81.4592
64,948.5147,521.6831,103.2517,2408.6366,114.7430,620.4000,543.6000,1788.2366,5.3157,15.4851,21.2288,170.7989,84.1609,82.8182
65,946.7684,520.7226,101.3465,2445.2212,114.5317,620.9000,543.6000,1824.3212,5.3280,15.7351,21.5911,170.9934,85.6928,84.1772
66,944.8230,519.6526,99.4144,2482.5966,114.2964,621.4000,543.6000,1861.1966,5.3379,15.9851,21.9560,171.1710,87.2621,85.5362
67,942.6801,518.4740,97.4567,2520.7785,114.0372,621.9000,543.6000,1898.8785,5.3453,16.2351,22.3235,171.3307,88.8696,86.8952
68,940.3412,517.1877,95.4747,2559.7826,113.7542,622.4000,543.6000,1937.3826,5.3501,16.4851,22.6936,171.4717,90.5163,88.2542
69,937.8082,515.7945,93.4699,2599.6247,113.4478,622.9000,543.6000,1976.7247,5.3524,16.7351,23.0663,171.5931,92.2031,89.6132
70,935.0830,514.2957,91.4436,2640.3209,113.1182,623.4000,543.6000,2016.9209,5.3520,16.9851,23.4416,171.6938,93.9309,90.9722
71,932.1677,512.6923,89.3973,2681.8875,112.7655,623.9000,543.6000,2057.9875,5.3489,17.2351,23.8195,171.7730,95.7007,92.3312
72,929.0646,510.9855,87.3326,2724.3409,112.3901,624.4000,543.6000,2099.9409,5.3432,17.4851,24.1999,171.8298,97.5133,93.6902
